Film,Year,IMDB LINK,Location Display Text,Image File Name,Agency Credit,Artist Credit,Director/Filmmaker Name,Director/Filmmaker IMDB Link
Jumpin' at the Boneyard,1992,http://imdb.com/title/tt0102174/,Burned-out blocks in the Bronx,,,Directed by,Jeff Stanzler,http://imdb.com/name/nm0822863/
Jungle Fever,1991,http://www.imdb.com/title/tt0102175/,Bensonhurst Brooklyn,JungleFever_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/
Jungle Fever,1991,,Strivers' Row Harlem Manhattan,JungleFever2_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/
Kids,1995,http://www.imdb.com/title/tt0113540/,Washington Square Park West Village Manhattan,,,Directed by,Larry Clark,http://imdb.com/name/nm0164187/
Killer's Kiss,1957,http://imdb.com/title/tt0048254/,Rooftops Lower Manhattan,KillersKiss_ec,Courtesy of Photofest,Directed by,Stanley Kubrick,http://imdb.com/name/nm0000040/
King Kong,1976,http://www.imdb.com/title/tt0074751/,World Trade Center Lower Manhattan,KingKong_ec,"Courtesy of Everett Collection, Inc.",Directed by,John Guillermin,http://imdb.com/name/nm0347086/
Kissing Jessica Stein,2001,http://www.imdb.com/title/tt0264761/,E. 6th St. East Village Manhattan,kissing_jessica_st4_pf,Courtesy of Photofest,Directed by,Charles Herman-Wurmfeld,http://imdb.com/name/nm0379237/
Klute,1971,http://www.imdb.com/title/tt0067309/,World Trade Center Lower Manhattan,Klute_pf,Courtesy of Photofest,Directed by,Alan J. Pakula,http://imdb.com/name/nm0001587/
Klute,1971,http://www.imdb.com/title/tt0067309/,Hell's Kitchen Ninth Ave. Manhattan,Klute_pf,Courtesy of Photofest,Directed by,Alan J. Pakula,http://imdb.com/name/nm0001587/
Klute,1971,http://www.imdb.com/title/tt0067309/,123rd St. Harlem Manhattan,Klute_pf,Courtesy of Photofest,Directed by,Alan J. Pakula,http://imdb.com/name/nm0001587/
Kojak,1973-1978,http://imdb.com/title/tt0069599/,60 Baxter St. Lower Manhattan,Kojak_pf,Courtesy of Photofest,Created by,"Abby Mann,(more)","http://imdb.com/name/nm0542631/,http://imdb.com/title/tt0069599/fullcredits#writers"
Kojak,1973-1978,http://imdb.com/title/tt0069599/,Lincoln Center Upper West Side Manhattan,Kojak2_pf,Courtesy of Photofest,Created by,"Abby Mann,(more)","http://imdb.com/name/nm0542631/,http://imdb.com/title/tt0069599/fullcredits#writers"
Kramer vs. Kramer,1979,http://www.imdb.com/title/tt0079417/,P.S. 6 (45 E. 81st St.) Upper East Side Manhattan,Kramervskramer_pf,Courtesy of Photofest,Directed by,Robert Benton,http://imdb.com/name/nm0000914/
Law & Order,1988- Today,http://imdb.com/title/tt0098844/,Worth St. Lower Manhattan,LawandOrder1_pf,Courtesy of Photofest,Created by,"Dick Wolf,(more)","http://imdb.com/name/nm0937725/,http://imdb.com/title/tt0098844/fullcredits#writers"
Little Fugitive,1953,http://imdb.com/title/tt0046004/,Coney Island Brooklyn,LittleFugative_pf,Courtesy of Photofest,Directed by,"Morris Engel,Ruth Orkin,(more)","http://imdb.com/name/nm0257129/,http://imdb.com/name/nm0257129/,http://imdb.com/title/tt0046004/fullcredits#directors"
Little Manhattan,2005,http://www.imdb.com/title/tt0412922/,Christopher St. Station Sheridan Square Manhattan,LittleManhattan_ec,"Courtesy of Everett Collection, Inc.",Directed by,Mark Levin,http://imdb.com/name/nm0505662/
LUV,1967,http://www.imdb.com/title/tt0061927/,Manhattan Bridge Brooklyn,Luv_pf,Courtesy of Photofest,Directed by,Clive Donner,http://imdb.com/name/nm0232795/
Mad Hot Ballroom,2005,http://www.imdb.com/title/tt0438205/,Washington Heights Harlem Manhattan,MadHotBallroom_ec,"Courtesy of Everett Collection, Inc.",Directed by,Marilyn Agrelo,http://imdb.com/name/nm1802009/
Malcolm X,1992,http://www.imdb.com/title/tt0104797/,"Adjacent to Apollo Theater, W. 125th St. between 7th and 8th Aves Harlem, Manhattan",MalcolmX_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/
Man Push Cart,2005,http://imdb.com/title/tt0464105/,Midtown Manhattan,,,Directed by,Ramin Bahrani,http://imdb.com/name/nm1023919/
Manhattan,1979,http://www.imdb.com/title/tt0079522/,MoMA W. 53rd St. Manhattan,Manhattan_pf,Courtesy of Photofest,Directed by,Woody Allen,http://www.imdb.com/name/nm0000095/
Marty,1955,http://imdb.com/title/tt0048356/,The Bronx,Marty_pf,Courtesy of Photofest,Directed by,Delbert Mann,http://imdb.com/name/nm0542720/
McCloud,1970-1977,http://imdb.com/title/tt0065317/,Manhattan,Mccloud_ec,"Courtesy of Everett Collection, Inc.",Directed by,"Lou Antonio,Jack Arnold,(more)","http://imdb.com/name/nm0031398/,http://imdb.com/name/nm0000791/,http://imdb.com/title/tt0065317/fullcredits#writers"
Mean Streets,1973,http://www.imdb.com/title/tt0070379/,Hester St. and Baxter St. Little Italy Manhattan,,Courtesy of Photofest,Directed by,Martin Scorsese,http://imdb.com/name/nm0000217/
Men in Black,1997,http://www.imdb.com/title/tt0119654/,Battery Park Lower Manhattan,MenInBlack_pf,Courtesy of Photofest,Directed by,Barry Sonnenfeld,http://imdb.com/name/nm0001756/
Men in Black,1997,http://www.imdb.com/title/tt0119654/,MacDougal St. SoHo Manhattan,MenInBlack_pf,Courtesy of Photofest,Directed by,Barry Sonnenfeld,http://imdb.com/name/nm0001756/
Men in Black,1997,http://www.imdb.com/title/tt0119654/,Grand Central Station 87 E. 42nd St. Manhattan,MenInBlack_pf,Courtesy of Photofest,Directed by,Barry Sonnenfeld,http://imdb.com/name/nm0001756/
Men in Black,1997,http://www.imdb.com/title/tt0119654/,Guggenheim Museum E. 88th St. and Fifth Ave. Manhattan,MenInBlack_pf,Courtesy of Photofest,Directed by,Barry Sonnenfeld,http://imdb.com/name/nm0001756/
Midnight Cowboy,1969,http://www.imdb.com/title/tt0064665/,1414 Broadway Midtown Manhattan,MidnightCowboy1_ec,"Courtesy of Everett Collection, Inc.",Directed by,John Schlesinger,http://imdb.com/name/nm0772259/
Midnight Cowboy,1968,http://www.imdb.com/title/tt0064665/,Times Square Manhattan,MidnightCowboy2_ec,"Courtesy of Everett Collection, Inc.",Directed by,John Schlesinger,http://imdb.com/name/nm0772259/
Mirage,1965,http://imdb.com/title/tt0059448/,Fifth Ave. and 66th St. Central Park Manhattan,Mirage_pf,Courtesy of Photofest,Directed by,Edward Dmytryk,http://imdb.com/name/nm0229424/
Mo' Better Blues,1990,http://www.imdb.com/title/tt0100168/,Brooklyn Bridge,MoBetterBlues2_pf,Courtesy of Photofest,Directed by,Spike Lee,http://www.imdb.com/name/nm0000490/
My Dinner with André,1991,http://imdb.com/title/tt0082783/,Subway ,MyDinnerWithAndre_pf,Courtesy of Photofest,Directed by,Louis Malle,http://imdb.com/name/nm0001501/
New Jack City,1991,http://www.imdb.com/title/tt0102526/,Grant's Tomb Harlem Manhattan,,,Directed by,Mario Van Peebles,http://imdb.com/name/nm0005522/
"Next Stop, Greenwich Village",1975,http://imdb.com/title/tt0074963/,MacDougal St. West Village Manhattan,NextStopGreenwich_ec,"Courtesy of Everett Collection, Inc.",Directed by,Paul Mazursky,http://imdb.com/name/nm0005196/
Nighthawks,1981,http://www.imdb.com/title/tt0082817/,Roosevelt Island Tramway Manhattan,Nighthawks_1981_1_pf,Courtesy of Photofest,Directed by,Bruce Malmuth,http://imdb.com/name/nm0540330/
No Way to Treat a Lady,1968,http://www.imdb.com/title/tt0063356/,New York City Bus Manhattan,NoWaytoTreataLady2_pf,Courtesy of Photofest,Directed by,Jack Smight,http://imdb.com/name/nm0806915/
No Way to Treat a Lady,1968,http://www.imdb.com/title/tt0063356/,Carmines 200 W. 44th St.  Manhattan,NoWaytoTreataLady_pf,Courtesy of Photofest,Directed by,Jack Smight,http://imdb.com/name/nm0806915/
North by Northwest,1959,http://imdb.com/title/tt0053125/,Grand Central Terminal Midtown Manhattan,,,Directed by,Alfred Hitchcock,http://imdb.com/name/nm0000033/
On the Town,1949,http://imdb.com/title/tt0041716/,Little Italy Manhattan,OntheTown_pf,Courtesy of Photofest,Directed by,"Stanley Donen,Gene Kelly","http://imdb.com/name/nm0002045/,http://imdb.com/name/nm0000037/"
On the Waterfront,1954,http://imdb.com/title/tt0047296/,"Hoboken, New Jersey View of Manhattan",OnTheWaterfront_pf,Courtesy of Photofest,Directed by,Elia Kazan,http://imdb.com/name/nm0001415/
